station_id,WY 2012 Monthly Observed Precipitation Ordered By Station Name_STATION NAME,WY 2012 Monthly Observed Precipitation Ordered By Station Name_OCT,WY 2012 Monthly Observed Precipitation Ordered By Station Name_NOV,WY 2012 Monthly Observed Precipitation Ordered By Station Name_DEC,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JAN,WY 2012 Monthly Observed Precipitation Ordered By Station Name_FEB,WY 2012 Monthly Observed Precipitation Ordered By Station Name_MAR,WY 2012 Monthly Observed Precipitation Ordered By Station Name_APR,WY 2012 Monthly Observed Precipitation Ordered By Station Name_MAY,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JUN,WY 2012 Monthly Observed Precipitation Ordered By Station Name_JUL,WY 2012 Monthly Observed Precipitation Ordered By Station Name_AUG,WY 2012 Monthly Observed Precipitation Ordered By Station Name_SEP
ALT,ALTURAS RS,0.69,0.72,0.1,0.81,0.97,1.1,1.64,0.89,0.49,0.0,0.06,0.0
APU,ANGWIN PACIFIC UNION COL,2.86,2.74,0.2,7.16,0.65,11.47,2.87,0.31,0.07,,0.0,0.0
ASM,ASH MOUNTAIN,2.2,1.69,0.0,4.39,1.55,2.98,4.97,0.07,0.0,0.0,0.0,0.0
ATW,ATWELL CAMP,3.32,2.32,0.01,6.71,2.03,4.93,4.92,1.0,0.31,0.2,0.5,0.01
ABR,AUBERRY 2 NW,1.69,1.37,0.0,4.64,1.32,4.92,3.73,0.0,0.07,0.0,0.02,0.0
AUB,AUBURN,2.9,0.84,0.03,0.9,1.81,10.15,6.47,0.09,0.21,0.03,0.0,0.0
BFK,BAKERSFIELD AIRPORT,0.55,0.76,0.0,0.44,0.29,1.27,1.62,0.0,0.0,0.02,0.0,0.0
BFS,BARSTOW,0.31,0.81,0.28,0.17,0.15,0.21,0.64,0.0,0.0,0.3,0.06,0.0
BRM,BEAR TRAP MEADOW,6.82,1.94,0.0,8.11,2.23,6.54,1.11,0.0,0.0,0.0,0.0,0.0
BGB,BIG BAR,3.26,2.95,0.52,7.22,1.76,9.86,2.83,0.22,0.42,0.4,0.0,0.0
BBE,BIG BEAR LAKE,1.65,1.14,1.97,1.24,2.03,3.28,2.15,0.05,0.0,1.52,3.48,0.0
BGC,BIG CREEK 1,2.57,1.18,0.0,4.17,1.37,4.49,3.68,0.15,0.22,0.0,0.42,0.02
BGS,BIG SUR STATE PARK,4.13,2.84,0.94,5.14,2.21,7.51,,,,0.0,0.0,0.0
BIS,BISHOP,0.65,0.2,0.0,1.87,0.04,0.33,0.02,0.0,0.0,0.0,0.07,0.0
BYM,BLUE CANYON (DWR-2),5.33,3.67,0.33,9.91,4.67,21.85,8.79,0.64,1.65,0.42,0.04,0.0
BLY,BLYTHE,0.12,0.29,0.62,0.0,0.01,0.19,0.14,0.0,0.0,1.88,1.05,0.07
BCA,BOCA,1.08,1.14,0.0,3.44,1.1,3.8,1.6,0.54,0.54,1.07,1.03,0.32
BDE,BODIE,0.0,0.33,0.2,1.55,0.34,0.9,0.23,0.33,0.21,0.63,1.67,0.36
BOW,BOWMAN,6.33,4.55,0.32,7.28,3.59,21.46,9.74,0.56,2.5,0.52,0.06,0.02
BDG,BRIDGEPORT R S,0.58,0.21,0.0,2.43,0.17,0.59,1.11,0.06,0.01,0.02,,
BCM,BRUSH CREEK (DWR-2),6.59,3.3,0.46,13.69,4.88,27.23,7.91,0.34,1.22,0.01,0.04,0.0
CCH,CACHUMA LAKE,0.47,2.81,0.35,1.58,0.43,3.63,3.21,0.02,0.0,0.0,0.0,0.18
CVT,CALAVERAS BIG TREES,3.88,1.68,0.02,8.65,3.16,10.65,5.11,0.3,1.35,0.0,0.02,0.27
CAL,CALLAHAN,0.99,0.91,0.63,3.85,1.0,4.95,1.96,0.44,0.76,0.12,0.0,0.0
CPD,CAMP PARDEE,2.08,0.87,0.06,2.68,1.34,6.1,4.37,0.07,0.31,0.03,0.0,0.13
