station_id,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_STATION NAME,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_OCT,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_NOV,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_DEC,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_JAN,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_FEB,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_MAR,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_APR,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_MAY,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_JUN,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_JUL,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_AUG,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_SEP
ALT,ALTURAS RS,1.32,1.15,3.51,2.0,0.5,1.84,1.32,1.17,0.56,0.05,0.0,0.03
APU,ANGWIN PACIFIC UNION COL,0.12,1.81,8.3,11.34,1.13,11.49,1.72,,0.0,0.0,0.0,0.0
ASM,ASH MOUNTAIN,1.88,3.64,4.33,5.62,2.8,4.14,1.49,0.67,,,,
ATW,ATWELL CAMP,1.8,5.45,8.75,10.97,2.1,4.68,3.82,2.39,0.82,0.47,0.0,0.0
ABR,AUBERRY 2 NW,0.34,4.05,4.77,8.4,0.96,5.44,2.95,0.72,0.08,0.0,0.0,0.0
AUB,AUBURN,0.0,3.56,6.44,5.19,1.4,7.55,1.21,1.28,0.0,0.0,0.0,0.0
BFK,BAKERSFIELD AIRPORT,0.14,0.61,0.58,1.95,0.25,0.45,0.98,0.55,0.0,0.0,0.0,0.0
BFS,BARSTOW,0.93,0.09,0.39,0.93,0.25,0.34,1.21,0.1,0.0,0.47,0.0,0.0
BRM,BEAR TRAP MEADOW,2.21,5.18,6.34,11.89,4.7,7.49,3.52,2.65,1.77,0.92,0.58,0.38
BGB,BIG BAR,0.82,1.67,5.57,10.57,2.12,9.08,1.76,1.12,0.71,,,
BBE,BIG BEAR LAKE,0.43,2.23,1.39,6.75,0.09,2.2,1.09,0.46,0.0,0.11,0.0,0.19
BGC,BIG CREEK 1,2.47,4.31,5.57,6.81,2.35,6.19,2.29,,,,0.0,0.01
BGS,BIG SUR STATE PARK,0.56,4.11,7.66,16.46,1.21,11.68,1.33,0.19,0.0,0.0,0.0,0.0
BIS,BISHOP,0.88,0.0,0.02,0.04,0.8,0.07,0.88,0.29,0.82,0.06,0.07,0.01
BYM,BLUE CANYON (DWR-2),1.8,5.67,16.57,20.32,2.76,21.35,4.61,3.91,0.13,0.0,0.0,0.06
BLY,BLYTHE,0.84,0.05,0.0,0.56,0.0,0.0,0.14,,0.04,,,
BCA,BOCA,2.01,2.8,5.64,5.28,1.82,4.69,2.61,2.37,0.11,0.0,0.26,0.04
BDE,BODIE,0.3,2.03,2.87,1.25,1.45,1.89,2.38,2.14,0.45,1.08,0.0,0.0
BOW,BOWMAN,1.82,5.7,17.64,21.74,2.81,22.12,4.05,2.1,0.52,0.0,0.0,0.0
BDG,BRIDGEPORT R S,0.93,1.01,1.3,2.11,0.51,1.22,1.59,3.26,0.34,0.47,0.01,0.03
BCM,BRUSH CREEK (DWR-2),1.46,6.22,17.5,25.08,3.64,24.07,3.04,2.64,0.65,0.0,0.0,0.01
CCH,CACHUMA LAKE,0.3,0.73,1.12,4.03,1.65,3.02,0.24,0.36,0.0,0.0,0.0,0.0
CVT,CALAVERAS BIG TREES,3.16,6.2,13.79,11.98,1.69,12.97,3.46,1.06,,,,
CAL,CALLAHAN,0.37,0.67,6.27,6.52,1.34,4.25,1.68,,0.16,0.09,0.03,0.01
CPD,CAMP PARDEE,1.1,2.97,4.89,6.13,0.94,5.85,2.7,0.18,0.0,0.0,0.0,0.0
CPT,CAPLES (TWIN) LAKE,2.01,5.95,11.57,9.58,3.13,9.74,4.07,1.69,0.24,0.01,0.13,0.46
CDV,CEDARVILLE,0.62,0.74,4.62,1.31,0.5,2.92,1.05,2.29,0.58,0.18,0.0,0.17
CHL,CHALLENGE RANGER STATION,,,,,,,,,,,,
CVD,CHERRY VALLEY DAM,1.54,5.73,12.3,11.61,1.71,11.01,2.9,1.95,0.4,0.0,0.0,0.07
CHS,CHESTER,1.02,2.1,5.79,14.58,2.31,10.31,2.14,2.24,0.68,0.0,0.0,0.09
CES,CHICO UNIV FARM,0.26,2.15,,6.3,1.04,7.9,0.08,0.92,0.39,0.0,0.0,0.0
CNL,CHINA LAKE ARMITAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CLN,COALINGA,0.7,1.34,0.67,3.56,0.24,1.03,,,,,,
CFF,COFFEE CREEK RANGER STATION,0.57,1.41,,,,,,,,,3.6,0.0
CLF,COLFAX,0.67,4.72,9.31,11.5,1.68,13.69,2.39,0.98,0.0,0.0,0.0,0.02
CTT,COTTONWOOD GATES,1.45,0.0,0.12,1.34,0.78,0.26,0.49,0.12,0.61,0.0,0.03,0.01
COV,COVELO 1 NNE,,2.18,,10.45,,,,,,,,
CRC,CROOKED CREEK (LONG VALLEY),1.37,0.12,0.3,1.06,0.92,0.62,1.06,0.77,1.18,0.04,0.15,0.02
CUY,CUYAMACA DAM,0.72,2.86,5.56,5.95,0.11,2.57,1.97,,0.0,0.0,0.0,
DVS,DAVIS 2WSW,0.27,1.66,1.61,5.76,0.84,5.06,0.37,,,,,
DSB,DE SABLA (PG&E),0.95,5.13,13.03,23.11,3.11,19.17,2.84,1.18,1.06,0.0,0.0,0.0
DTV,DEATH VALLEY,1.3,0.0,0.0,0.46,0.33,0.01,0.64,0.0,0.04,0.03,0.0,0.0
DMS,DONNER MEM ST PARK,1.64,1.6,7.99,11.8,1.56,,,,,,,
DWV,DOWNIEVILLE,1.56,5.21,14.66,19.99,3.06,22.28,3.2,2.6,0.47,0.0,0.0,0.06
DYL,DOYLE,0.51,2.36,1.79,1.55,1.66,1.71,0.63,0.72,0.0,0.0,0.21,0.0
DNM,DUNSMUIR TREATMENT PLANT,0.66,2.45,15.66,21.57,3.64,19.75,2.08,0.92,1.21,0.0,0.0,0.0
EGL,EAGLE CREEK,2.95,5.69,7.64,11.14,3.15,7.04,2.98,1.5,0.82,0.5,0.53,0.57
ELC,EL CAPITAN DAM,0.58,1.61,3.18,5.03,0.54,1.88,1.21,0.34,0.0,0.0,0.0,0.12
ERY,ELLERY LAKE,1.68,2.16,3.42,4.88,0.72,2.4,1.28,1.4,0.8,0.24,0.04,0.2
ELS,ELSINORE,0.11,0.12,0.58,2.79,0.3,0.73,0.25,0.05,0.0,0.0,0.0,0.1
ENG,ENGLEBRIGHT (USACE),0.36,3.71,6.73,9.92,1.83,11.41,1.43,0.7,0.21,0.0,0.0,0.0
ERK,EUREKA WOODLEY ISLAND,1.18,4.88,14.66,12.06,2.98,8.11,2.84,0.76,0.02,0.54,0.04,0.01
FRF,FAIRFIELD,0.12,2.08,4.01,9.25,,,0.59,,1.04,0.0,0.0,0.0
