county,year,month,precip_in
ALPINE,2024,10,1.57
ALPINE,2024,11,5.54
ALPINE,2024,12,5.86
ALPINE,2025,1,0.82
ALPINE,2025,2,7.95
ALPINE,2025,3,8.2
ALPINE,2025,4,1.61
ALPINE,2025,5,0.61
ALPINE,2025,6,0.12
AMADOR,2024,10,0.07
AMADOR,2024,11,3.23
AMADOR,2024,12,6.97
AMADOR,2025,1,1.42
AMADOR,2025,2,9.88
AMADOR,2025,3,8.1
AMADOR,2025,4,1.62
AMADOR,2025,5,0.06
AMADOR,2025,6,0.0
BUTTE,2024,10,0.22
BUTTE,2024,11,23.04
BUTTE,2024,12,18.18
BUTTE,2025,1,2.42
BUTTE,2025,2,29.36
BUTTE,2025,3,13.84
BUTTE,2025,4,3.61
BUTTE,2025,5,1.39
BUTTE,2025,6,0.0
CALAVERAS,2024,10,0.36
CALAVERAS,2024,11,5.18
CALAVERAS,2024,12,7.03
CALAVERAS,2025,1,1.3
CALAVERAS,2025,2,12.11
CALAVERAS,2025,3,8.44
CALAVERAS,2025,4,1.8
CALAVERAS,2025,5,0.56
CALAVERAS,2025,6,0.07
COLUSA,2010,10,0.72
COLUSA,2011,10,3.62
COLUSA,2014,10,1.22
Calaveras,2009,10,6.69
Calaveras,2009,11,1.28
Calaveras,2009,12,8.53
Calaveras,2010,1,9.68
Calaveras,2010,2,8.44
Calaveras,2010,3,5.98
Calaveras,2010,4,8.48
Calaveras,2010,5,5.44
Calaveras,2010,6,0.0
Calaveras,2010,7,0.0
Calaveras,2010,8,0.01
Calaveras,2010,9,0.01
Calaveras,2010,10,10.93
Calaveras,2010,11,11.05
Calaveras,2010,12,19.2
Calaveras,2011,1,3.41
Calaveras,2011,2,8.83
Calaveras,2011,3,18.63
Calaveras,2011,4,2.07
Calaveras,2011,5,4.71
Calaveras,2011,6,3.79
Calaveras,2011,7,0.0
Calaveras,2011,8,0.0
Calaveras,2011,9,0.28
Calaveras,2011,10,3.88
Calaveras,2011,11,1.68
Calaveras,2011,12,0.02
Calaveras,2012,1,8.65
Calaveras,2012,2,3.16
Calaveras,2012,3,10.65
Calaveras,2012,4,5.11
Calaveras,2012,5,0.3
Calaveras,2012,6,1.35
Calaveras,2012,7,0.0
Calaveras,2012,8,0.02
Calaveras,2012,9,0.27
Calaveras,2012,10,2.31
Calaveras,2012,11,12.8
Calaveras,2012,12,14.23
Calaveras,2013,1,0.98
Calaveras,2013,2,1.09
Calaveras,2013,3,3.88
Calaveras,2013,4,1.09
Calaveras,2013,5,1.08
Calaveras,2013,6,0.9
Calaveras,2013,7,0.0
Calaveras,2013,8,0.0
Calaveras,2013,9,0.7
Calaveras,2013,10,0.1
Calaveras,2013,11,1.39
Calaveras,2013,12,1.51
Calaveras,2014,1,0.97
Calaveras,2014,2,11.4
Calaveras,2014,3,5.76
Calaveras,2014,4,1.05
Calaveras,2014,5,0.38
Calaveras,2014,6,0.01
Calaveras,2014,7,0.34
Calaveras,2014,8,0.03
Calaveras,2014,9,1.9
Calaveras,2014,10,1.01
Calaveras,2014,11,4.27
Calaveras,2014,12,9.77
Calaveras,2015,1,0.02
Calaveras,2015,2,8.18
Calaveras,2015,3,0.83
Calaveras,2015,4,2.85
Calaveras,2015,5,1.63
Calaveras,2015,6,0.57
Calaveras,2015,7,0.09
Calaveras,2015,8,0.0
Calaveras,2015,9,0.08
Calaveras,2015,10,3.16
Calaveras,2015,11,6.2
Calaveras,2015,12,13.79
Calaveras,2016,1,11.98
Calaveras,2016,2,1.69
Calaveras,2016,3,12.97
Calaveras,2016,4,3.46
Calaveras,2016,5,1.06
Calaveras,2016,10,12.8
Calaveras,2016,11,3.88
Calaveras,2016,12,9.15
Calaveras,2017,1,30.44
Calaveras,2017,2,26.26
Calaveras,2017,3,5.76
Calaveras,2017,4,9.96
Calaveras,2017,5,0.55
Calaveras,2017,6,0.23
Calaveras,2017,7,0.0
Calaveras,2017,8,0.0
Calaveras,2017,9,0.02
Calaveras,2017,10,0.69
Calaveras,2017,11,9.84
Calaveras,2017,12,0.53
Calaveras,2018,1,8.1
Calaveras,2018,2,0.8
Calaveras,2018,3,18.72
Calaveras,2018,4,5.07
Calaveras,2018,5,0.34
Calaveras,2018,6,0.0
Calaveras,2018,7,0.0
Calaveras,2018,8,0.0
Calaveras,2018,9,0.0
Calaveras,2018,10,1.29
Calaveras,2018,11,9.65
Calaveras,2018,12,2.93
Calaveras,2019,1,14.1
Calaveras,2019,2,21.68
Calaveras,2019,3,12.46
Calaveras,2019,4,2.76
Calaveras,2019,5,7.91
Calaveras,2019,6,0.13
Calaveras,2019,7,0.0
Calaveras,2019,8,0.0
Calaveras,2019,9,0.67
Calaveras,2019,10,0.0
Calaveras,2019,11,2.12
Calaveras,2019,12,14.17
Calaveras,2020,1,3.19
Calaveras,2020,2,0.0
Calaveras,2020,3,8.44
Calaveras,2020,4,2.05
Calaveras,2020,5,0.9
Calaveras,2020,6,0.09
Calaveras,2020,7,0.0
Calaveras,2020,8,0.01
Calaveras,2020,9,0.04
Calaveras,2020,10,0.0
Calaveras,2020,11,2.57
Calaveras,2020,12,4.04
Calaveras,2021,1,12.29
Calaveras,2021,2,3.14
Calaveras,2021,3,3.84
