station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
APU,ANGWIN PACIFIC UNION COL,5.25,1.68,3.41,13.07,6.71,4.11,5.65,2.45,0.0,0.0,,
ASM,ASH MOUNTAIN,3.8,0.22,5.72,5.85,5.98,2.92,5.66,0.49,0.0,0.0,0.0,0.03
ATW,ATWELL CAMP,0.0,0.14,6.62,5.82,9.32,4.23,7.14,1.62,0.61,,0.0,0.0
ABR,AUBERRY 2 NW,2.33,0.31,4.83,6.44,5.19,2.52,4.45,0.6,0.0,0.0,0.0,0.0
AUB,AUBURN,2.25,0.57,4.22,7.63,4.17,3.29,5.11,2.26,0.06,0.0,0.0,0.0
BFK,BAKERSFIELD AIRPORT,0.08,0.1,1.66,1.82,1.77,0.25,1.14,0.27,0.0,0.0,0.0,0.0
BFS,BARSTOW,0.0,0.01,0.46,2.69,1.71,0.22,0.64,0.0,0.0,0.0,1.01,0.0
BRM,BEAR TRAP MEADOW,0.0,0.12,9.83,9.51,11.01,4.2,9.44,1.17,0.22,0.01,0.0,0.0
BGB,BIG BAR,3.51,2.52,3.29,8.27,5.14,1.79,8.64,2.93,0.7,0.08,0.02,0.35
BBE,BIG BEAR LAKE,0.4,1.48,6.74,14.24,5.37,0.78,0.92,0.4,0.0,0.8,0.21,0.12
BGC,BIG CREEK 1,5.64,0.36,4.54,6.79,6.36,2.8,4.95,1.02,0.0,0.0,0.0,0.34
BGS,BIG SUR STATE PARK,9.88,0.26,4.2,12.17,9.4,3.81,7.49,1.71,0.0,0.0,0.0,0.06
BIS,BISHOP,1.63,0.0,0.96,1.28,0.39,0.02,0.39,0.0,0.0,0.07,0.09,0.0
BYM,BLUE CANYON (DWR-2),5.34,2.58,10.12,13.9,8.03,9.05,11.07,6.58,0.44,0.05,0.11,0.0
BLY,BLYTHE,0.0,0.0,0.85,2.12,0.9,0.67,0.01,0.0,0.0,0.0,0.03,0.0
BCA,BOCA,2.08,0.85,3.74,3.87,2.46,2.37,3.11,0.94,0.19,0.08,0.5,0.05
BDE,BODIE,1.13,0.17,0.9,1.23,1.42,0.4,0.93,0.28,0.0,1.21,0.0,0.0
BOW,BOWMAN,5.06,2.64,9.31,12.65,7.66,10.2,10.45,6.67,0.9,,,
BDG,BRIDGEPORT R S,0.58,0.58,1.83,2.18,2.09,0.55,0.99,0.27,0.0,0.68,0.05,0.0
BVL,BRIDGEVILLE 4NNW,,,,,,,,,,,,
BCM,BRUSH CREEK (DWR-2),4.03,2.98,9.92,21.29,8.62,9.22,12.82,5.26,0.58,0.0,0.02,0.34
CCH,CACHUMA LAKE,2.2,0.0,3.0,10.34,4.92,0.26,3.15,0.05,0.0,0.0,0.0,0.0
CVT,CALAVERAS BIG TREES,6.69,1.28,8.53,9.68,8.44,5.98,8.48,5.44,0.0,0.0,0.01,0.01
CAL,CALLAHAN,2.12,1.43,1.06,5.48,2.21,1.91,3.96,0.68,0.55,0.28,0.05,0.5
CPD,CAMP PARDEE,1.55,0.57,3.73,5.68,2.97,2.52,4.8,1.52,0.03,0.0,0.0,0.0
CPT,CAPLES (TWIN) LAKE,5.44,1.83,4.95,7.84,4.67,4.38,6.66,3.53,0.16,0.36,0.19,0.0
CDV,CEDARVILLE,0.65,1.14,1.0,1.66,0.21,1.19,1.25,1.35,0.56,0.28,0.63,0.41
CHL,CHALLENGE RANGER STATION,3.44,2.71,6.67,8.63,6.13,4.18,9.33,4.07,,,,
CVD,CHERRY VALLEY DAM,6.11,0.96,9.51,9.12,7.39,5.68,7.92,3.15,0.01,0.0,0.0,0.01
CHS,CHESTER,2.84,2.14,3.98,10.44,4.34,3.39,4.29,1.62,0.08,0.07,0.15,0.1
CES,CHICO UNIV FARM,1.56,1.17,3.56,9.53,4.14,1.74,4.65,1.27,0.06,0.0,0.0,0.0
CNL,CHINA LAKE ARMITAGE,0.0,0.07,0.34,1.61,0.95,0.01,0.08,0.09,0.0,0.01,0.21,0.0
CLH,CLEAR LK HIGHLANDS (OBS),,,,,,,,,,,,
CLN,COALINGA,0.56,0.21,1.68,1.72,1.66,0.31,1.82,0.0,0.0,0.0,0.0,0.0
CFF,COFFEE CREEK RANGER STATION,,,,,,,,,,,,
CLF,COLFAX,3.93,1.93,5.55,7.07,5.8,3.78,7.04,3.03,0.05,0.0,0.0,0.0
CTT,COTTONWOOD GATES,1.44,0.0,2.35,3.57,1.09,0.0,0.39,0.0,0.0,0.19,0.0,0.01
COV,COVELO 1 NNE,2.68,2.42,4.91,10.92,4.27,4.52,6.45,2.57,0.6,0.0,0.0,0.04
CRC,CROOKED CREEK (LONG VALLEY),3.43,0.05,1.33,2.85,2.42,0.17,0.65,0.06,0.02,0.91,0.01,0.0
CUY,CUYAMACA DAM,0.23,1.26,9.72,10.06,8.84,2.83,5.77,0.0,0.0,0.1,0.0,0.04
DVS,DAVIS 2WSW,4.09,0.31,2.25,6.61,2.87,1.11,,0.6,,,,
DSB,DE SABLA (PG&E),5.97,2.87,9.63,22.48,9.62,4.89,11.83,3.5,0.0,0.0,0.04,0.2
DTV,DEATH VALLEY,0.0,0.03,0.04,1.56,1.53,0.02,0.09,0.0,0.0,0.01,0.0,0.0
DMS,DONNER MEM ST PARK,4.1,1.63,7.6,7.39,3.77,5.83,5.58,,,,,
DWV,DOWNIEVILLE,5.9,3.0,8.12,13.74,6.92,8.91,9.47,5.14,0.1,0.0,0.1,0.04
DYL,DOYLE,1.51,0.4,1.96,1.91,1.08,0.9,1.61,0.57,0.0,0.0,0.38,0.0
DNM,DUNSMUIR TREATMENT PLANT,6.22,3.86,8.92,22.06,12.24,7.41,9.33,3.59,1.66,0.0,0.05,0.87
