county,year,month,incident_count,acres_burned
Alameda,2013,6,1,240.0
Alameda,2013,7,2,88.0
Alameda,2015,8,1,2850.0
Alameda,2016,6,1,211.0
Alameda,2017,8,2,244.0
Alameda,2017,9,2,177.0
Alameda,2017,10,1,116.0
Alameda,2018,5,2,496.0
Alameda,2018,6,1,20.0
Alameda,2018,7,2,514.0
Alameda,2018,8,2,78.0
Alameda,2018,11,1,20.0
Alameda,2019,6,1,30.0
Alameda,2019,7,2,47.0
Alameda,2019,8,3,398.0
Alameda,2019,9,1,11.0
Alameda,2019,10,2,47.0
Alameda,2020,7,2,361.0
Alameda,2020,8,1,396624.0
Alameda,2022,6,2,623.0
Alameda,2022,7,1,121.0
Alameda,2022,8,1,58.0
Alameda,2023,7,1,80.0
Alameda,2024,6,5,187.0
Alameda,2024,7,3,1200.0
Alameda,2024,8,4,54.0
Alameda,2024,9,1,22.0
Alameda,2024,10,1,15.0
Alameda,2025,5,1,261.0
Alameda,2025,6,2,139.0
Alameda,2025,7,1,7.0
Alpine,2015,6,1,0.0
Alpine,2016,8,1,0.0
Alpine,2021,6,1,1320.0
Alpine,2021,7,1,68637.0
Alpine,2021,8,1,221835.0
Amador,2013,6,1,96.0
Amador,2014,7,1,4240.0
Amador,2015,6,1,60.0
Amador,2016,6,2,582.0
Amador,2016,8,1,26.0
Amador,2016,9,1,45.0
Amador,2017,8,1,10.0
Amador,2018,6,1,17.0
Amador,2018,7,1,825.0
Amador,2019,9,1,10.0
Amador,2020,9,1,48.0
Amador,2020,10,1,21.0
Amador,2021,6,1,67.0
Amador,2021,8,1,221835.0
Amador,2021,9,1,46.0
Amador,2022,7,1,4470.0
Amador,2023,7,2,129.0
Amador,2024,9,2,67.0
Amador,2024,11,1,24.0
Amador,2025,6,1,11.0
Butte,2013,6,1,298.0
Butte,2013,8,3,2436.0
Butte,2013,10,1,305.0
Butte,2014,7,1,72.0
Butte,2015,7,1,400.0
Butte,2015,9,3,71980.0
Butte,2015,10,1,104.0
Butte,2016,5,2,121.0
Butte,2016,6,2,161.0
Butte,2016,8,2,608.0
Butte,2016,9,3,960.0
Butte,2017,2,1,0.0
Butte,2017,6,4,357.0
Butte,2017,7,6,6344.0
Butte,2017,8,1,4016.0
Butte,2017,9,3,183.0
Butte,2017,10,3,14801.0
Butte,2018,6,4,530.0
Butte,2018,7,4,1207.0
Butte,2018,9,1,33.0
Butte,2018,10,2,560.0
Butte,2018,11,2,153336.0
Butte,2019,4,1,10.0
Butte,2019,5,1,50.0
Butte,2019,6,2,29.0
Butte,2019,7,1,10.0
Butte,2019,9,3,854.0
Butte,2019,10,1,80.0
Butte,2020,5,1,17.0
Butte,2020,6,4,333.0
Butte,2020,7,2,63.0
Butte,2020,8,1,110.0
Butte,2020,10,1,6.0
Butte,2021,5,1,550.0
Butte,2021,6,2,478.0
Butte,2021,7,1,963309.0
Butte,2022,6,4,482.0
Butte,2022,7,1,30.0
Butte,2023,7,1,65.0
Butte,2023,8,1,68.0
Butte,2024,5,2,21.0
Butte,2024,6,4,1801.0
Butte,2024,7,6,433580.0
Butte,2024,8,2,33.0
Butte,2024,9,2,144.0
Butte,2025,5,2,42.0
Butte,2025,6,1,25.0
Butte,2025,7,2,122.0
Calaveras,2013,7,1,31.0
Calaveras,2013,8,1,46.0
Calaveras,2014,6,2,205.0
Calaveras,2015,8,1,114.0
Calaveras,2016,6,1,33.0
Calaveras,2016,7,4,743.0
Calaveras,2016,8,1,450.0
Calaveras,2017,5,1,15.0
Calaveras,2017,7,3,198.0
Calaveras,2017,10,1,130.0
Calaveras,2018,6,1,80.0
Calaveras,2018,8,2,426.0
Calaveras,2019,7,1,27.0
Calaveras,2019,9,1,67.0
Calaveras,2020,6,1,1455.0
Calaveras,2020,8,2,1838.0
Calaveras,2020,10,1,21.0
Calaveras,2021,4,1,160.0
Calaveras,2021,5,1,118.0
Calaveras,2021,7,1,153.0
Calaveras,2021,8,1,639.0
Calaveras,2022,7,1,4470.0
Calaveras,2022,9,1,73.0
Calaveras,2023,7,1,105.0
Calaveras,2023,9,1,32.0
Calaveras,2024,6,3,5393.0
Calaveras,2024,7,3,286.0
Calaveras,2024,8,4,59.0
Calaveras,2024,11,1,50.0
Colusa,2013,6,1,28.0
Colusa,2017,7,1,70.0
Colusa,2018,7,3,459198.0
Colusa,2019,8,1,20.0
Colusa,2020,7,2,163.0
Colusa,2020,8,2,1033208.0
Colusa,2022,5,1,595.0
Colusa,2023,7,1,22.0
Colusa,2024,6,1,19195.0
Colusa,2024,7,1,2756.0
Colusa,2024,10,1,10.0
Colusa,2025,6,1,14.0
Contra Costa,2013,7,2,766.0
Contra Costa,2013,9,1,3111.0
Contra Costa,2014,7,1,80.0
Contra Costa,2015,7,1,195.0
Contra Costa,2016,7,1,40.0
Contra Costa,2017,6,1,20.0
Contra Costa,2017,7,2,601.0
Contra Costa,2018,6,4,356.0
