county,year,month,incident_count,acres_burned,precip_in
Alameda,2013,6,1,240.0,0.0
Alameda,2013,7,2,88.0,0.0
Alameda,2015,8,1,2850.0,0.0
Alameda,2016,6,1,211.0,0.0
Alameda,2017,8,2,244.0,0.0
Alameda,2017,9,2,177.0,0.0
Alameda,2017,10,1,116.0,0.0
Alameda,2018,5,2,496.0,0.0
Alameda,2018,6,1,20.0,0.0
Alameda,2018,7,2,514.0,0.0
Alameda,2018,8,2,78.0,0.0
Alameda,2018,11,1,20.0,0.0
Alameda,2019,6,1,30.0,0.0
Alameda,2019,7,2,47.0,0.0
Alameda,2019,8,3,398.0,0.0
Alameda,2019,9,1,11.0,0.0
Alameda,2019,10,2,47.0,0.0
Alameda,2020,7,2,361.0,0.0
Alameda,2020,8,1,396624.0,0.0
Alameda,2022,6,2,623.0,0.0
Alameda,2022,7,1,121.0,0.0
Alameda,2022,8,1,58.0,0.0
Alameda,2023,7,1,80.0,0.0
Alameda,2024,6,5,187.0,0.0
Alameda,2024,7,3,1200.0,0.0
Alameda,2024,8,4,54.0,0.0
Alameda,2024,9,1,22.0,0.0
Alameda,2024,10,1,15.0,0.0
Alameda,2025,5,1,261.0,0.0
Alameda,2025,6,2,139.0,0.0
Alameda,2025,7,1,7.0,0.0
Alpine,2015,6,1,0.0,0.0
Alpine,2016,8,1,0.0,0.0
Alpine,2021,6,1,1320.0,0.0
Alpine,2021,7,1,68637.0,0.0
Alpine,2021,8,1,221835.0,0.0
Alpine,2024,10,0,0.0,1.57
Alpine,2024,11,0,0.0,5.54
Alpine,2024,12,0,0.0,5.86
Alpine,2025,1,0,0.0,0.82
Alpine,2025,2,0,0.0,7.95
Alpine,2025,3,0,0.0,8.2
Alpine,2025,4,0,0.0,1.61
Alpine,2025,5,0,0.0,0.61
Alpine,2025,6,0,0.0,0.12
Amador,2013,6,1,96.0,0.0
Amador,2014,7,1,4240.0,0.0
Amador,2015,6,1,60.0,0.0
Amador,2016,6,2,582.0,0.0
Amador,2016,8,1,26.0,0.0
Amador,2016,9,1,45.0,0.0
Amador,2017,8,1,10.0,0.0
Amador,2018,6,1,17.0,0.0
Amador,2018,7,1,825.0,0.0
Amador,2019,9,1,10.0,0.0
Amador,2020,9,1,48.0,0.0
Amador,2020,10,1,21.0,0.0
Amador,2021,6,1,67.0,0.0
Amador,2021,8,1,221835.0,0.0
Amador,2021,9,1,46.0,0.0
Amador,2022,7,1,4470.0,0.0
Amador,2023,7,2,129.0,0.0
Amador,2024,9,2,67.0,0.0
Amador,2024,10,0,0.0,0.07
Amador,2024,11,1,24.0,3.23
Amador,2024,12,0,0.0,6.97
Amador,2025,1,0,0.0,1.42
Amador,2025,2,0,0.0,9.88
Amador,2025,3,0,0.0,8.1
Amador,2025,4,0,0.0,1.62
Amador,2025,5,0,0.0,0.06
Amador,2025,6,1,11.0,0.0
Butte,2013,6,1,298.0,0.0
Butte,2013,8,3,2436.0,0.0
Butte,2013,10,1,305.0,0.0
Butte,2014,7,1,72.0,0.0
Butte,2015,7,1,400.0,0.0
Butte,2015,9,3,71980.0,0.0
Butte,2015,10,1,104.0,0.0
Butte,2016,5,2,121.0,0.0
Butte,2016,6,2,161.0,0.0
Butte,2016,8,2,608.0,0.0
Butte,2016,9,3,960.0,0.0
Butte,2017,2,1,0.0,0.0
Butte,2017,6,4,357.0,0.0
Butte,2017,7,6,6344.0,0.0
Butte,2017,8,1,4016.0,0.0
Butte,2017,9,3,183.0,0.0
Butte,2017,10,3,14801.0,0.0
Butte,2018,6,4,530.0,0.0
Butte,2018,7,4,1207.0,0.0
Butte,2018,9,1,33.0,0.0
Butte,2018,10,2,560.0,0.0
Butte,2018,11,2,153336.0,0.0
Butte,2019,4,1,10.0,0.0
Butte,2019,5,1,50.0,0.0
Butte,2019,6,2,29.0,0.0
Butte,2019,7,1,10.0,0.0
Butte,2019,9,3,854.0,0.0
Butte,2019,10,1,80.0,0.0
Butte,2020,5,1,17.0,0.0
Butte,2020,6,4,333.0,0.0
Butte,2020,7,2,63.0,0.0
Butte,2020,8,1,110.0,0.0
Butte,2020,10,1,6.0,0.0
Butte,2021,5,1,550.0,0.0
Butte,2021,6,2,478.0,0.0
Butte,2021,7,1,963309.0,0.0
Butte,2022,6,4,482.0,0.0
Butte,2022,7,1,30.0,0.0
Butte,2023,7,1,65.0,0.0
Butte,2023,8,1,68.0,0.0
Butte,2024,5,2,21.0,0.0
Butte,2024,6,4,1801.0,0.0
Butte,2024,7,6,433580.0,0.0
Butte,2024,8,2,33.0,0.0
Butte,2024,9,2,144.0,0.0
Butte,2024,10,0,0.0,0.22
Butte,2024,11,0,0.0,23.04
Butte,2024,12,0,0.0,18.18
Butte,2025,1,0,0.0,2.42
Butte,2025,2,0,0.0,29.36
Butte,2025,3,0,0.0,13.84
Butte,2025,4,0,0.0,3.61
